teritory,region,area
UK,UKI,Europe
Belgium,Gallia,Europe
France,Gallia,Europe
Netherlands,Gallia,Europe
Australia,ASG,Europe
Germany,ASG,Europe
Switzerland,ASG,Europe
Italy,Italy,Europe
Denmark,Nordics,Europe
Sweden,Nordics,Europe
Finland,Nordics,Europe
Norway,Nordics,Europe
Spain,Iberia,Europe
Portugal,Iberia,Europe
Singapore,ASEAN,Growth Markets
Malaysia,ASEAN,Growth Markets
Australia,Australia,Growth Markets
Brazil,Brazil,Growth Markets
Greater China,Greater China,Growth Markets
Japan,Japan,Growth Markets
US West,US,North America
US Southwest,US,North America
US Midwest,US,North America
US Southweast,US,North America
US Northeast,US,North America
United Arab Emirates,United Arab Emirates,Growth Markets
Ireland,UKI,Europe
Canada West,Canada,North America
Canada Central,Canada,North America
Canada West,Canada,North America
Canada East,Canada,North America
